"Title","Location","Company","Field4"
"Software Engineer","Saint Louis, MO","Colibri Group3.5","Software EngineerColibri GroupSt. Louis, MOColibri Group is a family of brands (McKissock, Elite, Advance Healthcare, Western Healthcare, Real Estate Express, Superior School of Real Estate, Allied Schools, The Institute for Luxury Home Marketing, XCEL Testing Solution, and Securities Training Corporation) that provide learning solutions for licensed professionals in over 20 fields, including real estate, property appraisal, engineering, nursing, social work, massage therapy and cosmetology. Our companies are taking mandated professional education to the next level as we produce tools, courses, and job aides that help customers achieve more in their days and their careers. We help professionals become licensed,stay licensed and gain the skills to perform at the top of their fields.At Colibri Group we are continuously finding new ways to get to market faster, disrupt the status quo, optimize operational models, and create experiences our consumers deserve. We are embarking on the next phase of transforming how professional education occurs within our targeted professions with approximately 2 million professionals active in our education network today and high customer satisfaction levels, we believe there is an opportunity to go to the next level and build ourselves into the Peloton of Professional Education allowing our customers to learn more efficiently, while improving learning outcomes.Colibri Group currently has an opportunity for a Software Engineer based in our St. Louis, MO office. We will consider the position to be remote.What Youll Do: As a Software Engineer, youll play a key role in building and testing new features and frameworks for supporting an ecosystem of common web applications used by many subsidiaries within the Colibri Group family of companies. Youll work as a member of the technology team to collaborate with UX, product management, QA and other software engineers to define new features, estimate and implement them. Your main duties will start within the TypeScript/Angular framework, which will be consuming a .NET API, which you will have the opportunity to work on as well. In addition to creating tests with Jasmine/Karma and completing peer reviewed pull request into our production environment. Responsibilities: We practice continuous delivery and work in an agile environment. You'll design and implement critical elements of architecture and application components for common offerings. The ideal applicant pays close attention to detail, is inquisitive, able to be self-directed while open to collaboration. We follow an unapologetic no ego release process where fellow engineers input opinions and suggestions on the code you would like to release to production, thereby attempting to ensure the highest quality code is released. Youll be working on a team that owns the code from development through release into production, for multiple applications, deploying a DevOps model of complete ownership. Essential Skillset: 	TypeScript Angular 6+ Unit Testing (Jasmine/Karma) Experience consuming APIs. Git Nice to have: 	Knowledge of relational databases and SQL .NET / C# Colibri Group offers a competitive compensation package with outstanding bonus potential. We have an excellent benefit program including medical, dental, prescription, flexible spending account, healthcare spending account, 401k match and generous PTO."
"Software Engineer","East Moline, IL","John Deere4.2","There are 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we’re all about at John Deere. And it’s why we’re investing in our people and our technology like never before in our 175-year history. Here the world’s brightest minds are tackling the world’s biggest challenges. If you believe one person can make the world a better place, we’ll put you to work. RIGHT NOW.Primary Location: United States (US) - Illinois (US-IL) - East MolineFunction: Information TechnologyTitle: Software Engineer - 61634Your ResponsibilitiesAs a Software Engineer for John Deere's Digital Marketing organization in East Moline, IL you will be responsible for the full-stack design, development, configuration, and integration of solutions to support the Digital marketing strategy and platform including but not limited to; SalesForce Marketing Cloud, AMPScript, JavaScript, UX Design, HTML, CSS, and JSON technologies. In addition, you will;Work on a digital marketing product team and support product design by analyzing stakeholder requirements and translating them into functional digital marketing campaigns, coordinating with both business stakeholders and back-end data wranglers to write and test code used to deliver targeted digital marketing to our global customerDevelop innovative solutions to complex/significant problems with little guidanceBecome recognized as an expert user in Deere's critical digital marketing technologiesVisa sponsorship is available for this positionWhat Skills You Need2 or more years working directly with SalesForce Marketing Cloud4 or more years combined experience with AMPScript, JavaScript, HTML, CSS, JSON in building and integrating digital marketing campaigns and journeys 3 or more years of experience with Agile software development practices 3 or more years of UX Design experience 2 or more years of experience with Test Driven Development and/or Acceptance Test Driven Development 2 or more years of experience in roles that required strong interpersonal communication including collaboration, negotiation, and conflict management skills 3 or more years of experience adapting to shifting project schedules, priorities, and assignments in an agile environment What Makes You Stand OutAdvanced SalesForce Marketing Cloud knowledge and architecture experience Experience troubleshooting coding errors related to AMPScript, JavaScript, JSON, HTML, CSS, jQuery, dynamic coding, and data structure Large-scale delivery of digital marketing journeys and campaigns Advanced understanding of RESTful web services Experience with Continuous Integration and/or Build Pipeline AutomationEducation (or equivalent work experience)Bachelor's degree in Computer Science/Engineering, Information Systems, Digital Marketing Degree in an Engineering/Technology discipline - University Degree (4 years or equivalent) What You'll GetAt John Deere, you are empowered to create a career that will take you to where you want to go. Here, you'll enjoy the freedom to explore new projects, the support to think outside the box and the advanced tools and technology that foster innovation and achievement. We offer comprehensive relocation and reward packages to help you get started on your new career path. Click here to find out more about our Total Rewards Package.The information contained herein is not intended to be an exhaustive list of all responsibilities and qualifications required of individuals performing the job. The qualifications detailed in this job description are not considered the minimum requirements necessary to perform the job, but rather as guidelines.John Deere is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, religion, color, national origin, sex, age, sexual orientation, gender identity or expression, status as a protected veteran, or status as a qualified individual with disability."
"Software Engineer","San Jose, CA","Adobe4.1","Position SummaryThe Adobe Drawing and Painting team is reinventing digital drawing for a new generation of users and devices. We are seeking a highly motivated Software Engineer to develop compelling solutions to interesting problems involving graphics and user experiences. This is a phenomenal opportunity to work with a diverse team of hardworking professionals who love to build elegant products. If you're interested in helping us invent the future of drawing, we want to talk with you!Technical Requirements:B.S. or M.S. in Computer Science or equivalent.Proficiency with an object-oriented language, such as:C++C#Objective-CJavaPythonUnderstanding of:Computer GraphicsGPU programmingData Structures and AlgorithmsBonus ExperienceAgile developmentiOS, Mac, Windows or Android appsInterest in the visual artsAt Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status.</br>Adobe"
"Director of Software Development","Woodstock, VT","Manufacturing Information Systems4.4","Innovate and transform an industry-leading software application to meet the evolving needs of manufacturers. Lead a talented development team in publishing regular updates and new features. Work in Woodstock, Vermont, an iconic village in the Green Mountains, just 20 miles from Killington to the west and 20 miles to Dartmouth College to the east. Free parking for mountain bikes.  Yes, you could work part of the time from a home office. But we’d really like to see you as much as possible.  This position requires extensive project management and general managerial experience including:Researching and documenting possible product functional enhancementsResearching applicable new technologies to define the product architecturePlanning and achieving development objectivesDirecting and motivating other developers on the team to achieve the objectivesInterfacing with managers of other departments to define and execute a corporate team strategyTechnical skills including:Client-Server development on Microsoft Windows platformsObject-oriented programming practicesNET technology for both Windows Desktop and web applications including:NET and C#NET, ADO.NETJavaScript, Angular, IonicHTML, CSSREST/Web Services and web security practices using WebAPIMicrosoft SQL ServerKnowledge of cloud-based application development and the Microsoft Azure platform is a plusMISys, Inc. is a software development company headquartered in Woodstock, Vermont that has evolved from an MS DOS application stored on floppy discs to a web application running in an internet browser. Our mission is to develop software to help manufacturers thrive. MISys Manufacturing software is designed for small and medium sized businesses to manage inventory, production and planning with advanced functionality for MRP, serial/lot tracking and shop floor control – critical to manufacturers but not found in accounting software like QuickBooks. An employee owned company, MISys is committed to continuously improving its products and its people.  Benefits  MISys, Inc. provides a competitive benefits package including heath insurance, short-term disability, paid vacation and holidays, personal days & medical leave. MISys also provides a supportive work environment and is committed to nurturing a strong culture of Corporate Giving.  To Apply  Please email samantha.jones@misysinc.com. Attach your resume and include a brief note about yourself. Thank you for considering a career at MISys Inc."
"Estimator/Project Manager Aluminum and Glass","Memphis, TN","Pitman Glass Company","Pitman Glass Company, is a 55 year commercial glazing contractor located in Memphis, TN and is looking to hire an experienced Project Estimator/Project Manager. We specialize in the design and installation of Glazed Aluminum Storefronts, Aluminum Curtainwalls, Entrances, All-Glass Entrances, Fire Rated Framing, Interior Aluminum Framing, Aluminum Windows, Glass Railings.  Must be able to read, comprehend and explain all construction documents including plans, specifications, project and contractor instructions, all in English. Must communicate effectively verbally, in writing and in English.  Must be able to organize and follow through with plan from estimating to process to take off to submittal submission and orders to installations of work. Communicate with project team, vendors and the G.C. so everyone understands plan through material orders, scheduled delivery; installation and completion of project.  Must have specific business knowledge of the aluminum & glass industry, specific knowledge of the building envelope systems, glazing codes, doors, hardware.DUTIES/ACCOUNTABILITIES/TASKS:Provide preconstruction budget services.Provide project estimates and proposals including; all materials, equipment costs, submittal costs, fabrication and field labor, etc.Provide Value Engineering alternates where possible on bid proposals.Prepare all submittals including; shop drawings, engineering, product data sheets, and physical samples.Check all “approved” submittals for accuracy.Communicate frequently; with General Contractor, field supervision, management, on all projects.Prepare/assist on monthly billing.Visit project weekly, oversee field progress and attend project managers meetings.Maintain regular contact with shop fabrication and field management to discuss project site deliveries and installations and to maintain schedules.Manage all project change orders and do not proceed unless received written change order or written authorization from General Contractor with agreed upon price prior to ordering/starting extra work.Prepare material take off lists including; metal, doors, hardware, glass, caulking, anchors, etc.Buyout all materials at or below estimated costs.Order all materials and follow-up on delivery lead times on a daily/weekly basis.Participate in sales/project meetings.Work to keep projects punch list free as possible and complete actual punch list items asap.Submit closeout documents as soon as possible at end of projects.Assist management and other project managers with additional input or detailing.Other duties may be assigned.ADDITIONAL QUALIFICATIONS:Language Skills. Ability to read and interpret documents such as safety rules, operating and maintenance instructions, procedure manuals and product installation manuals.Must have the knowledge of and the ability of; use of standard office equipment, software such as MS Word, MS EXCEL, MS Outlook and general construction software.Ability to maintain attention to detail, maintaining project schedules to meet deadlines.Ability to speak effectively before clients or employees of the organization.Ability to apply common sense understanding to carry out instructions furnished in oral, written form and to handle sensitive and confidential items/situations.Ability to deal with problems using tact, poise and diplomacy.Must have; integrity, excellence, team player abilities, use of resourcefulness and adaptability.Mathematical Skills; ability to calculate figures and amounts including discounts, percentages, circumference, etc.Ability to apply concepts of basic algebra. EDUCATION AND OR EXPERIENCE:5 years of commercial glass PM experience on the Glass and Glazing Industry5 years of commercial glass Estimating experience.High School diploma or equivalent.Bachelors degree (B.A.) form a four-year college or university (Preferred but not mandatory).Possess a valid drivers license free of any serious traffic related infractions.PHYSICAL DEMANDS/POSITION ENVIRONMENT:Must be able to lift 30 lbs.60 percent standing and bending.Able to work in outside elementsLong periods of sitting at desk.Required to stand, use hands & fingers, feel, reach above head with arms and hands, walk, climb, kneel/crouch, crawl, pull, hear and talk.Vision must be in the normal range.Must be able to work in an environment where noise level is moderate to loud.Job is Full-time.WORK AUTHORIZATION:United States (Preferred)BENEFITS:Paid time offHealth insurance401kProfit SharingBonus Potential"
"Architectural Engineer","Providence, RI","Building Enclosure Science","Building Enclosure Science (BES) is an award-winning construction consulting and materials testing firm that works on the performance, durability and sustainability of buildings. Located in Providence, Rhode Island BES has an immediate opportunity for a Technician in the field of architectural engineering.BES services the greater New England area and beyond, providing building enclosure investigations, remedial repair designs, commissioning, testing, construction quality control, design review, litigation support and owner’s project management. The field of building science is growing and BES is excited to add to our team of collaborative, quality-oriented, detailed, hard-working, persistent, efficient and process-driven individuals.Qualifications:Passion for the built world (construction, engineering, design, architecture, building materials and technology). Previous experience preferredCollege degree or applicable experience in engineering, architecture, construction, construction management, building science or other related fieldsAble to clearly communicate in written and verbal format, to work both independently and in a collaborative team environment and consistently meet objective-based goalsExperience with Adobe DC, BlueBeam, Project Management software and MS Office, proficiency in AutoCAD and InFocus is preferredTechnician will be required to perform the following duties: Assist in performing building system forensics, condition assessments, existing condition, and destructive and non-destructive testingAssist in the coordination of services with internal and external experts, design professionals, manufacturers, and contractorsAssist in preparing reports documenting observational findings, conclusions and recommendationsPerform on-site quality control inspections, document field conditions with digital photographyPerform on-site field testing of building assembliesAssist in the development of project plans, details and specifications as required by the project teamDevelop a working knowledge of design codes and industry standardsAssist in providing quality assurance services during the construction phase of projectsAssist with the performance of infrared thermal scans and electronic field vector mapping (EFVM) surveys Building Enclosure Science offers a highly competitive salary, professional development, continuing education, retirementsavings matching, paid holidays, vacation and health benefits. Please forward resume/C.V., writing sample, work sample, and three (3) references to Joan Costello the Director of Human Resources.We are an Equal Opportunity Employer and do not discriminate against applicants due to veteran status or on the basisof disability. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexor national origin."
"Closer - Paralegal","Roswell, GA","Cook & James, LLC","Who we areCook and James, LLC is a law firm that specializes in real property transactions. We value our clients, our employees, and our earned reputation for being an outstanding firm to work both for and with.SummaryThe Closing Paralegal is the quarterback of the closing team. The closer must understand the entire closing process and be able to Mentor, instruct, and direct others. The closer makes sure that all files are ready to go, all parties involved are informed, and that all closings go off without a hitch at the closing table.About youThis is a perfect position for a seasoned candidate who has 4+ years or more of experience in residential real estate transactions. You understand all that it takes to get to the closing table and consider yourself to be a leader in your field. You care passionately about quality, doing things right, and getting the job done. You are a people person, and can make those around you feel happy and at ease. Essential Duties and QualificationsCoordinate transactions between buyers, sellers and agents.Prepare CD’s and settlement statements as well as all closing documents for closing.Disburse funds including setting up wires.Review and confirm that the pre-closing process is complete and accurate.Assist with preparation of documents to cure title issues if needed.Issue title policies (owners and lenders)Communicate with all parties and provide documents for review.Work to ensure there are no impediments to the closing.Promote a ‘first time right’ mentality to eliminate errors.Communicate professionally with clients both verbally and in writing, providing exceptional customer servicePrioritize numerous tasks in a high-volume, deadline-oriented environment.Work independently as well as part of a team.Other duties may be assigned to meet business needs.Additional QualificationsExperience with settlement software Qualia preferredMust have 3-5 years previous experience as a closing paralegal in a residential real estate law firmSalary is dependent upon experience and qualifications.Benefits:Health insuranceDental insuranceVision InsurancePaid time offParental leave"
"Software Developer","Mason, OH","UST Global3.9","ResponsibilitiesIn depth knowledge of user interface development tech stack and frameworks such as, HTML, CSS, JavaScript, Angular, ReactJS, VueJS, Typescript, AJAX, etc.A level of design and business understanding so as to not compromise on business goals and design intentsWork in multidisciplinary team with other professionals such as back end developers and web designersBuild high quality mockups and design different prototypesProvide high quality graphics and visual elementsOptimize our web applications for maximum speedDesign mobile based featuresAlways stay consistent with our brand guidelinesGet feedback from users and customersMake suggestions for better solutions to problemsKeep abreast of latest and emerging technologiesAttend training and educationsRequirementsBTech degree or technical institute training or equivalent work experience4 years of experience as a Front end DeveloperExcellent knowledge of browser troubleshooting and debugging practices and techniquesKnowledge of some SEO principles3 years of experience with markup languages3 years of experience with JavaScript, CSS and jQueryKnowledge of graphics software such as Adobe Suite, Photoshop etc.Sense of ownership and pride in your performance and its impact on company s successCritical thinker and problem solving skillsTeam playerGood time management skillsGreat interpersonal and communication skillsBA in Computer Science or similar relevant fieldStrong effective communication skills, both written and verbalInteracting well with others since teamwork is commonExhibiting a commitment to lifelong learning since technology is always changingThinking outside the box to solve problems creativelyCommunicating effectively so that all involved understand what is being doneLocation This position will be based in Mason, OhioB TECH"
"Programmer","Chelmsford, MA","Aligned Vision","Primary Responsibilities:Migrate MATLAB® functions to Linux and Windows programsVerify code and performance of new models and algorithmsUI developmentWorking with a team of external consultants and internal staffJob Requirements:US citizenshipBachelor's degree or equivalent experience in a technical area, such as Computer Science or EngineeringProficient with C++ and C#Excellent programming skills using MATLAB®Able to write object-oriented code that is clean, scalable, maintainable, and self-documentingStrong knowledge of design patterns and best practice software designUI development experienceAble to troubleshoot, debug, and solve problemsWorks independently, able to multitaskExcellent written and verbal communication skills, very organized"
"Software Engineer","Mountain View, CA","Auto-Chlor System3.1","Auto-Chlor System is a leader in commercial dishwashing that provides low carbon footprint solutions for our customers in the Restaurant and Hospitality Industries. With over 100 locations nationwide, we pride ourselves in the high quality service we give to our customers and employees. We believe that a company is only as good as its people, which is why our culture motto is ""People First"".Our Corporate Office is now hiring a Sr. Software Engineer in Mountain View, CA. This position is full-time, exempt with full benefits and is perfect for someone looking to start their career in software development. Were looking for an enthusiastic and team oriented individual who will contribute to our ""People First"" culture by providing high quality service to our organization.Whats in it for you?A people first culture where contributions and collaboration is encouraged and celebrated.Monthly company events to recognize hard work and celebrate company wins.A competitive salary with an excellent benefits package.Ongoing wellness initiatives to improve your health and well being.What are some of the day to day responsibilities?Project Planning and Project Management for given projects.Work independently throughout the project and report to director regularly with project status.Provides coaching to Junior Engineers, schedules and assigns projects and tasks.Full lifecycle application development for given software projects including designing, coding and debugging applications in various software languages.Software analysis, code analysis, requirements analysis, software review, identification of code metrics, system risk analysis, software reliability analysis.Software modeling and simulation, testing and quality assurance.Support, maintain, and document software functionality.Evaluate and identify new technologies for implementation.Successful candidate criteria:Practical and hands on experience in coding both VB.Net and C# related programs.Knowledge in relational database and using ADO.Net with SQL and Oracle database.Web Programming: ASP.Net and AJAX. SOAP protocolPocket PC related programming and Windows Service programming.Familiar with Microsoft .Net Framework and .Net Compact Framework Architecture.Experience in financial software design and integration.Self motivated with passion in software development and team oriented.B.S. or M.S. in Computer Science or related areas is preferred.7-10 years experience in related field.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.Auto-Chlor System is more than just a company to work for, its a family. We are excited to give you a glimpse into what life and our family is like at Auto-Chlor System! Throughout our 80 year history, Auto-Chlor System has stood on two pillars: Leadership and people. We strive to have a company culture that focuses on our company objectives of People First, High Quality Service (""HQS""), Growth and Expansion. High Quality Service is what we consider to be servant leadership to our people and our customers.People First means communicating to connect with each other, promoting from within, recognizing efforts and results, having a safety focus to protect our teams, customers and our communities, and a positive work-life balance. At the end of the day, we want to be a good place for people to work and grow. We want to provide opportunities for people to reach their highest potential with good wages and benefits to allow each team member a wholesome lifestyle for themselves and their families.No matter if you are a potential candidate or just viewing our page, we hope you will share the excitement and results of our People First culture.Lets have some fun together!"
"Software Development Manager – Reporting and Analytics","United States","MEDecision2.6","OverviewMedecision is transforming healthcare!Are you the kind of person that is motivated by the challenge of a dynamic, changing market? Can you utilize and exploit progressive systems and processes to satisfy urgent business needs? Are you a good partner with your teammates; driven to execute team and individual commitments that align with business vision? Does the idea of a high visibility and high impact role in a medium sized, growing company excite you? Are you interested in being part of a team that strives to achieve high business impact, execution excellence and has a lot of fun while we are doing it? Are you ready? We are! Join us in our journey towards liberating today’s fragmented healthcare systems to Connect Care Everywhere.Medecision is looking for a Software Development Manager – Reporting and Analytics, a passionate power contributor who will provide effective collaboration, facilitation, leadership, and coaching skills supporting the development of our applications. This person will hire and manage a group of developers as direct reports and be responsible for their development and evaluations. The position will be responsible for enforcing the rules of Development best practices, removing impediments from their teams while promoting self-management and constantly improving our standards of work.You, as theSoftware Development Manager – Reporting and Analytics, have deep knowledge and expertise in both agile and traditional SDLC processes and best practices and the judgement and practical experience to lead high-performing engineering teams.You are familiar with creating and managing IT budgets and tracking progress to goals, ensuring process discipline, gathering and interpreting key performance indicators to optimize execution and inform tactical and strategic decision making.Reports to: Sr VP, Engineering and ArchitectureLocation(s): Dallas, TXResponsibilitiesYOU’RE GOOD AT: Create and manage performance to major job objectives and overall job description including behavioral norms for your direct reportsMentor individuals and guide career developmentFacilitate discussion and conflict resolutionAdministrative management duties including vacation schedules, sick time, weekly time logging, and other corporate compliance standardsCommunicate with other managers, developers, product managers and technical support specialists on product or personnel issuesServes as a technical mentor to developers that are direct reportsCreate and maintain detailed plans for development projectsParticipate proactively in developing and maintaining team standards, tools, and best practicesAssist team with making appropriate commitments through work selection and task definitionAssist with internal and external communication, improving transparencyAssist with prioritization and resolution of defects/bugsTrack and communicate project/release progressOrganize and facilitate estimation, business requirements review and planning update meetingsServe as liaison between technical and non-technical departmentsQualificationsYOU HAVE: 5+ years past experience as a data engineer in database technology stacks, including data modeling (Oracle, Postgres, or similar), ETL (Talend or similar), and Stream Processing (Spark or similar).Experience with AWS services (S3, EMR, Glue, DMS, RedShift, and other analytics oriented services)Bachelor's degree or combination of relevant education and experienceManagement experience with direct reportsIn-depth knowledge of data-centric productsHealthcare experience is a plusIntimately familiar project management skillsThorough understanding of the software development lifecycleExceptional facilitatorAbility to understand technical issues at a high levelProven ability to work independently with limited supervision and with other departmental personnelMust have exceptional communication, organization, and time management skillsMust be collaborative in driving decisionsMust be “self-motivated” and capable of managing multiple priorities and tasksMust be a “team-player” with the ability to work within collaborative environmentsGood listening skillsExcellent interpersonal skills, ability to work with diverse personality typesAbility to coach the team to reach their highest potentialPassion to proactively seek ways to improve processesSelf-confidence to be assertive when taking a position and can constructively resolve issuesCreative, resourceful and innovative at tackling complex challenges (in a timely matter)Self-taught and self-teaching, with a demonstrated aptitude for acquiring knowledge and technical skillsOrganized and self-directing with the ability to identify priorities and mobilize projects in an orderly fashion to achieve desired resultsRespectful, professional interpersonal working styleApproachable and willing to offer helpful solutionsOUR CULTURE DRIVES USIt’s not all about what we do. It’s as much about how we do it. Medecision team members show up. We consistently exemplify our 6 core values of success: Execution. Service – We deliver “standing ovation” service. Speed – We are Agile. Ownership— We all take ownership and responsibility for how we deliver our promises, how we spend money, who we hire, what we build and how we help one another grow.Passion. We show an infectious emotional commitment to our work because what we do is important to our customers, one another and ourselves.Partnership. We are all in this together, without boundaries. Our internal/external network contains the solutions we need: we’ll continuously seek them out, use them and improve them.Leadership. We are Medecision’s brand. We are experts in care management, care coordination and healthcare information and technology. We lead our clients to excellent results by providing our expertise on best practices, industry trends, solutions development and innovations. We are moving in sync with an evolving industry. There is no problem we cannot solve.Innovation. We are in a constant state of discovery, inventiveness, thinking outside the box, and leading others internally and externally to do the same.Candor. Medecision communicates in a sincere, direct and famil­iar way. We address conflict directly and escalate issues internally and externally to address conflict with speed and partnership.Join us in our quest to liberate healthcare!This description has been designed to indicate the general nature and level of work performed by an employee within this position. The actual duties, responsibilities and qualifications may vary based on assignment. Medecision is an Equal Opportunity Employer (EOE) and strongly supports diversity in the workplace."
"Bi-lingual Customer Service Representative","Gainesville, FL","Motory Group2.0","Bi-lingual Customer Service Representative for Auto Sales and Finance CompanyMotory Group is a respected leader in the consumer used auto sales and auto loan services industry. We help people with new or damaged credit purchase vehicles so they can get to work and otherwise improve their lives. We are currently seeking highly-skilled, career-oriented individuals ready to be part of a growing company!If you read, write and speak both English and Spanish fluently we have a great opportunity for you! Motory Group specializes in auto financing for customers with less than perfect credit. Our customer service representatives assist customers interested in purchasing a vehicle with completing their loan applications and submitting their required documentation. Then our representatives verify the customer’s identification, employment, income, residence, run their credit report, interview the applicant by phone and complete their financial profile. Then they make an assessment and recommendation for financing which is reviewed by the Finance Director who makes the final decision.Our customer service representatives need to be professional, intelligent, team players that think and work fast and calmly, are good with numbers, spreadsheets, and able to quickly learn computer software. You must type 50 wpm with all 10 fingers, have great verbal and written communication skills, excellent reading comprehension, ready willing and able to follow instructions, procedures, scripts, policies, etc. This is a drama-free, attitude-free, and smoke-free workplace.Work Week and Hours:Regular normal days and hours: Five (5) days per week including all Mondays, Fridays, and Saturdays, taking off Tuesday, Wednesday, or Thursday working 9:00AM - 6:00PM with - 1 hour unpaid lunch. A shorter day is possible if you only want to take ½ hour lunch.Tax Season Hours (January 1 through April 15): Four day work week with days Monday through Saturday assigned by manager in consultation with all representatives needs. Hours are 9:00 AM through 8:00PM - 1 hour lunch. It is possible we may decide to do this schedule year round if it works best for the business.Base pay $12/hr plus performance bonuses up to $17/hrWe offer:Competitive WagesPerformance BonusLife/Health Benefits401(k) Savings PlanPaid Vacation/HolidaysGreat SchedulesComprehensive TrainingThe Customer Service Representative is a performance based, hands-on, customer-focused role that is responsible for completing tasks associated with the center's daily operation. Job responsibilities are expected to be completed in a manner that complies with all federal and state regulations and adheres to company policies, procedures, and practices. This position is responsible to perform an active role in meeting all performance goals and metrics for the center as defined by management. In order to do so, this position requires attention to detail, excellent customer service skills, and a passion for sales. This position is responsible to develop, assist, and participate in all marketing and collection efforts, both internally and externally.Customer Service, Sales, & Marketing: Actively assist in meeting the center's performance metrics as defined by management. Understand, recommend, and sell financial products and services to customers. Build strong relationships with current and prospective customers, in person and over the phone. Manage customer concerns, and actively participate in customer transactions. Deploy marketing efforts in the community to generate sales and customer growth, and complete marketing tracking sheets as required.Operations, Compliance, & Collections: Assist and participate in meeting department and company goals and in meeting management's expectations related to center performance. Adhere to the Company's policies, procedures, Creed, and to all applicable state and federal regulations. Maintain accurate cash controls and ensure that security procedures are in line with Company and Loss Prevention (LP) Standards. Enter customer and transaction information accurately into the point of sales system, and create and maintain accurate customer files with all required documentation. Perform and document collection calls, field visits, and any other approved collection activities. Complete other duties as assigned.Team & Leadership: Work closely with and support others in a positive, team environment to enhance the customer experience.Equivalent Education Level Required: High School Diploma or equivalent required; some college preferred.Experience Required: Sales and/or customer service experience required, or equivalent experience. One year of experience in one or more of the following areas preferred: sales, retail, banking, or collections.Knowledge Required: Strong math skills, including the ability to count cash; professional verbal communication by phone and in person; ability to read, write, evaluate, and apply complex and detailed information; may work alone; ability to interact professionally and exhibit appropriate social skills; ability to negotiate payment terms and effectively communicate loan requirements; ability to understand and ensure compliance with policies, procedures, and laws governing our industry/business and employees; ability to use computer programs required to process customer transactions; ability to maintain composure in stressful situations; ability to follow procedures in the normal course of business and in stressful situations; ability to develop and maintain business relationships.Physical Requirements: Standing for long periods of time; sitting occasionally; walking, including extended distances; bending; squatting; kneeling; pushing/pulling; reaching; twisting; frequent lifting of less than 10 lbs., occasional lifting of up to 20 lbs.; driving and having access during the workday to an insured and reliable transportation in order to complete tasks including, but not limited to, banking, marketing, and providing staffing coverage within the division; exposure to outdoors limited to elements that the ordinary person would be exposed to at that time; typing; data entry; grasping; transferring items between hands and/or to another person or receptacle; housekeeping/cleaning (vacuuming, dusting, cleaning windows, bathroom, etc., including exposure to cleaning chemicals); use of office equipment to include computers; able to be physically present Monday through Saturday from 8am - 8pm; ability to travel to, be physically present at, and complete the physical requirements of the position at any center within the division (distance varies by division)Travel: Must have a valid driver's license and access to insured, reliable transportation. Ability to travel within division for marketing, collections, staffing, special events, and banking responsibilities.Attire: Professional business attire or Motory Group logo apparel required.Other: Must be 18, eligible to work in the USA, and able to successfully complete all post offer screens, including a criminal background check, MVR, credit check if required by state law, reference check, and drug test. Regular and punctual attendance is required. Schedules may be changed as needed to accommodate business needs. Overtime may be required. Must meet all applicable state and local regulatory requirements. In some states, you may be required to become a notary upon request (at the Company's expense)."
