"Title","Company","Location","Description"
"Software Engineer","ENSCO, Inc.","Endicott, NY 13760","Software EngineerEndicott, NYNo Clearance RequirementAvionicsJob DescriptionENSCO Avionics is looking for talented Software Engineers to help design, develop, and verify embedded applications for the next generation of commercial and military aircraft. Your responsibilities will span the full DO-178C Verification Process, from reviewing software requirements to developing software to designing and executing requirement-based tests. Requirements review and development is performed with DOORs. Software development is performed in an Embedded Real Time Environment, and the verification process uses a custom solution used to simulate other devices in an aircraft to provoke testing scenarios in the avionics device under test. Updates to software on safety critical and mission critical systems will require teamwork with other team members from Hardware and Systems Engineering to understand the system design.At ENSCO Avionics, we take our tagline “Ideas to Reality” very seriously. Joining ENSCO is an opportunity to advance humankind through technological and scientific discovery. Our dedicated workforce is diverse—in background, experience, skills, and interests. ENSCO Avionics employees are encouraged to be courageous and innovative in their ideas and work collaboratively to help develop cutting-edge technology and inventions that make future dreams a reality. ENSCO Avionics offers a supportive and unique culture, positive work environment, and flexible work schedules that empower its employees to achieve their maximum potential.If you have the skills, experience, and desire to join our talented team and contribute to the needs of today’s modern aircraft, we want to talk to you about this opportunity.Qualifications Required (Skills)BS degree in Computer Science, Computer Engineering, or equivalent with a minimum of 3 years of experienceExperience with embedded software environments such as Mircochip PIC chips, using C languageStrong understanding of C LanguageExperience working with POSIX concepts in Linux (timers, threads)Experience with Requirements Based Testing and a strong understanding of software verification principlesExperience analyzing and understanding code that is only described at a higher levelExcellent interpersonal skills including working in team environmentsExcellent written and verbal communication skills: must be able to communicate effectively in teleconferences with suppliers, clients and colleagues, and must be able to write documentation and reports in a clear and concise manner that will be used by colleagues and customersMust be a U.S. CitizenQualifications DesiredExperience with Data Bus controls like PCI Express (PCIe), Ethernet, SPIExperience with Serial Communications such as RS-232/422Experience with Board Support Packages (BSP)Experience with Software Requirements DevelopmentExperience using Green Hills, MS Visual Studio or similar Integrated Development Environment (IDE)Experience with Configuration systems such as Subversion (SVN) or GITExperience with Requirements Tools such as IBM Rational Dynamic Object-Oriented Requirements System (DOORS)Req ID1700BRInternal Position TitleSoftware Engineer IIIEmployment StatusRegular Full-timeGeneral Education/Years of ExperienceBS or equiv; min 3 yrs relevant expU.S. CitizenshipYesBackground Check Type7 yearDrug Screen TypeNoneExport Control and LicensingNoneContract Award ContingencyNoRecruiterMark PittsDivision DescriptionFor more than 35 years, ENSCO Avionics has developed sophisticated airborne systems for the aerospace industry to meet DO-178C, DO-254, DO-278A, and military standards for manned and unmanned systems. ENSCO Avionics' focus is on safety- and mission-critical software and programmable hardware engineering solutions, custom display development, tailored synthetic vision applications, integration test solutions, and the IData® Tool Suite. ENSCO Avionics, based in Endicott, N.Y., is a wholly owned subsidiary of ENSCO, Inc. www.ensco.com/avionicsStrength in DiversityENSCO, Inc. and its wholly owned U.S. subsidiaries are equal opportunity/affirmative action employers, committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability, or protected veteran status, or any other protected characteristic under state or local law."
"Big Data Senior Java Web Service Developer","GEICO","Indianapolis, IN","Job DescriptionKey Position DetailsAre you ready to collaborate and innovate in an Agile environment with a motivated team on projects enabled by a robust cloud-based enterprise data platform? As a Senior Web Service Developer on the GEICO Big Data squad, you’ll thrive in a fast-paced innovative culture that turns data into information and uses that information to drive action. One focus is our Single View of the Customer (SVOC). You’ll create web services using cutting edge technology (Docker, Spring, GraphQL, etc) to integrate with other applications and allow GEICO to use data to provide tailored interactions for our customers.When you first join our SVOC team you will have the opportunity to go through our new Big Data Academy! This Academy will give you exposure to the cutting-edge technology that we use to develop SVOC, and prepare you with the skills needed to hit the ground running.Basic Qualifications:At least 4 years of programing experience in Java, Spring, and web servicesExperience in building Service Oriented Architecture applicationsStrong critical thinking, decision making, troubleshooting, multi-tasking and problem-solving skillsExcellent verbal/written communication skills, including communicating technical issues to non-technical audiencesA Bachelor's degree in a computer related field or equivalent professional experience is requiredPreferred Qualifications:Experience with GraphQL and DockerContinuous Integration (CI) using Gradle, Artifactory, Jenkins and Container based deploymentsTuning and monitoring using Dynatrace or Splunk MH1#Dice.#LI-MH1About GeicoFor more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:401(k) and profit-sharing plansMedical, dental, vision and life insurancePaid vacation, holidays and leave programsTuition reimbursementAssociate assistance programFlexible spending accountsBusiness casual dressFitness and dining facilities (at most locations)Associate clubs and sports teamsVolunteer opportunitiesGEICO Federal Credit UnionBenefit offerings for positions other than full-time may vary.GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers."
"Sr. Big Data Software Engineer","PayPal","San Jose, CA 95131","The Position is for a Sr. Big Data Developer to work on a Real time data integration hub with Transaction State Management. This involves working across PayPal and its subsidiaries to ingest payments, contextual and end to end transaction state data into an Operational Data Store for downstream analytics by multiple stakeholders.We are looking for a motivated and experienced big data engineers, to join a highly skilled team of experienced professionals, which believe in best-of-breed software craftsmanship, clean and elegant coding, using the right tool for the job, and always exploring and learning new technologies and approaches.As an engineer, you will be responsible for working on applications and services that handle all types of PayPal transactions. You will work in a fast-paced environment, where continuous innovation and experimentation are a given. You will master both established and cutting-edge technologies like Java, Spring, J2EE, Oracle, Casandra, Storm, Kafka, Druid, Hadoop, MongoDB, CouchBase among others.Typical GPDS team engineer responsibilities include:Design, development, and testing of features/functions delivered via applications and servicesCollaborating with peers and seniors both within their team and across the organizationWorking with product managers using agile methodologies to deliver high quality solutions on timeWorking with operations teams to ensure your applications and services are highly available and reliableSupporting your applications and/or services as and when required on a 24x7 basisSuccessful GPDS team engineers will:Be driven to get results and not let anything get in your wayBe proactive and anticipate/handle most issues before they blowupExhibit a strong backbone and challenge the status quo when neededDemonstrate a high level of curiosity and keep abreast of the latest technologiesShow pride of ownership and strive for excellence in everything they doDesign, develop, test, and debug large scale complex platform using big data technologies.Develop web applications and tools for the effective management and operation of PayPal’s big data platform.Analyze and improve stability, efficiency, and scalability of the platform.Collaborate with architects, engineers, and business on product design and feature.Job Requirements:7+ years software development experienceBS in Computer Science or related degree required. MS preferredExpert in Java programmingExpert in Spring, RESTful API, ServicesExpert in database/storage technologies like Oracle, MongoDB, Cassandra, and so on.Competent in designing and building Restful Services in a commercial settingCompetent in design/implementation for reliability, availability, scalability and performanceCompetent in software engineering tools and best practicesJob_Description_Summary: The Global Product Data Services is a newly formed team in the Payments organization under Customer Experiences and Technology. Its vision is to “Provide Enterprise Product Data at lower cost and better quality”. To achieve this vision, we are looking for people with a passion and curiosity to solve customer problems with data. The internal stakeholders for the Program include, but are not limited to, PayPal Inc.’s Product Teams, Accounting and Finance, Sales, Risk, Customer Service, Treasury and Strategy Teams. Our External stakeholders include Regulators, Customers, Third Party Service Providers and Banks.Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
"Software Engineer, Experimentation","DoorDash","San Francisco, CA 94105","Come help us build the world's most reliable on-demand, logistics engine for delivery! We're bringing on talented engineers to help us create and maintain a 24x7, no downtime, global infrastructure system that powers DoorDash's three-sided marketplace of consumers, merchants, and dashers.At DoorDash we're building the most reliable delivery network to support our three-sided marketplace of consumers, merchants, and dashers! To evolve this network and the experiences built on top of it we need to measure and understand the effects of our changes. Experimentation Platform Engineers at DoorDash enable us to ship and measure new features with confidence and clarity.Our team is looking for Experimentation Platform Engineers to work on infrastructure, libraries, automation, and processes to support world class experimentation and analysis at DoorDash.Experimentation Platform at DoorDash is currently building libraries across our tech stack to facilitate consistent experimentation. We are also increasing our trust in our product data by enforcing a schema and reporting on the health of our pipeline. Future projects include: generalized tracking libraries across our tech stack, developing the next generation of our experimentation framework, building tools to manage our experiment ecosystem, and enabling experiments to target specific cohorts of users.What You'll AchieveEvolving DoorDash towards automated feature management - Push forward our tooling and systems towards a North Star of automating new feature release and analysisBuilding & Integrating Tools - Accelerate the launch and analysis of new features with tooling that makes experimentation easy to implement and understandOwning Your Work - You'll be a founding member of the experimentation team and responsible for helping to form the experimentation platform roadmap.Data Governance - Build and support tooling to ensure the accuracy of our product dataInfluence the Organization - You'll partner with engineers throughout the organization to help configure and plan successful experiments and tracking plansAbout YouYou celebrate your successes, but also admit your missteps and learn from feedback - we're all human.You're growth-minded and eager to expand your skill set.You're excited about working across teams to build infrastructure and documentationYou display adaptability, resiliency, and the ability to thrive in ambiguity - things change quickly!Qualifications3+ years of industry experienceExperience architecting large-scale applicationsDeep understanding of REST principles and experience working with and implementing backend APIsEspecially strong knowledge of CS fundamental conceptsA passion for analyzing data to inform decisionsExcellent communication skills (written & verbal) - we partner with every team in the companyNice To HavesStrong understanding of statistical analysisExperience scaling experimentation systemsExperience developing and socializing libraries in large organizationsBS in Computer Science, Computer Engineering, IT, or related fieldAndroid or iOS experienceAbout UsFounded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national businesses in more than 1,000 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about - one dash at a time."
"Software Engineer","Internal Data Resources","Allen, TX","Software EngineerIDR is seeking a Software Engineer to join the team of one of our TOP clients in the North Dallas area! The Software Engineer will be helping to develop a next generation platform that will be utilized across the United States. The Software Engineer will be responsible for the design, development, testing, and deployment of next generation solutions.Required Skills for the Software Engineer: 4+ years' Development experience with .NET 4.0 or newer using C#2+ years' Experience utilizing GitHub for source control2+ years' Development experience in a Cloud-based environment2+ years' Experience in an Agile environmentNice to Have Skills: 2+ years' Front-end development experience utilizing JavaScript1+ years' Development Experience using .NET CoreProfessional Experience utilizing Docker to create containersService Bus (microservices)Job Type: Full-timeSalary: $100,000.00 to $120,000.00 /yearExperience:GitHub: 2 years (Required)Cloud Computing: 1 year (Required)Agile: 1 year (Required).NET Development: 4 years (Preferred)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceFlexible schedulePaid time offVisa Sponsorship Potentially Available:No: Not providing sponsorship for this jobThis Job Is:Open to applicants who do not have a high school diploma/GEDA job for which all ages, including older job seekers, are encouraged to applyOpen to applicants who do not have a college diplomaSchedule::Monday to Friday"
"Sr. Software Engineer - Mobile (IOS/Android)",,,"Description:COMPANY:CPS Products has built an outstanding product portfolio of tools, instruments and service equipment targeted to the HVAC/R technician. Headquartered in Miramar, Florida with wholly owned subsidiary locations in Europe, Australia and Canada the Company is well positioned to bring new products to the global market quickly and efficiently and is able to provide after sales support, training and service to our global customers.While working with global supply partners, CPS assembles and manufactures much of what we design at our manufacturing facilities located in Miramar, Florida and Mississauga (Toronto), Canada. Our manufacturing strategy is to make the critical parts and components in house to ensure their quality and to outsource the non-critical ""commodity"" items.Over the years CPS has invested in the tools, equipment, technology and people to manufacture both hi-tech electronic products as well as precision machined mechanical products and everything in between. The company has good products incorporating advanced technology.JOB DESCRIPTIONThe Senior Software Engineer will be a seasoned web and mobile application developer, who has extensive experience with development of presentation (GUI), security applications and database layers. This is an evolving opportunity seeking to employ cutting edge web applications to increase efficiency and performance supporting CPS Products. The successful candidate will be motivated, team oriented and have a drive to make CPS Products an industry leader in Smart & Connected HVACR & Automotive marketsDuties include, but are not limited to:Focus on Android/iOS mobile platforms and web applications;Provide full lifecycle software development to include requirements gathering, design development, testing, documentation, training, configuration, and maintenance of developed software projects;Manage Mobile App deployment (Apple store and Google Play);Help evolve the software development methodology based on agile and lean thinking, including the establishment of coding conventions, documentation standards, testing procedures and quality assurance;Work with IT professionals to coordinate efforts, resolve cross-team issues and communicate changes.Requirements:Required Skills:Good working knowledge of one or more items in each of the following categories:Languages: Javascript, C/C++, Java, Python, Ruby, Objective-CFrameworks: Apache Cordova, web2py, Ruby on Rails, NodeJS, Vue.js, jQueryOperating Systems: Android, iOS, Windows, Linux (any)Databases: SQL (any), PostgreSQLWeb Servers: Apache, NginxSource Control: git, GitLab, GitHub, BitbucketExperience developing web-based and cloud hosted applications utilizing HTML5, JavaScript, CSS, and responsive design techniques;Experience in cross-platform mobile app development ;Experience with Wifi and Bluetooth hardware/software integration;Experience working in an agile environment (Kanban and Scrum);Innovation: Always looking for ways to integrate new technology to solve problems and fill in capability gaps. Demonstrated expertise selecting and utilizing open source products in applications and solutions;Good business communication skills. Position will require developing and giving presentations;Detail oriented and organized, able to understand information systems and ensure accuracy of work.EducationBachelor’s Degree in Computer Science, Engineering or a related technical discipline, or the equivalent combination of education, technical training, or work/military experience.Qualifications:5-8 years of related software development experience.Lift over 35 LBS"
"Software Engineer: C++ (Gaming)",,,"Here at TapBlaze, we work hard to make great, creative games that players will remember for decades. As a small team, we have created games such as ""Good Pizza, Great Pizza"" that have been downloaded more than 100 million times across the globe, giving a fun, innovative experience to millions of players everyday.TapBlaze is looking for mid-level software programmers to join our team to help us create awesome mobile games. We are looking for A-players to join our team who love getting things DONE. We are always looking for other creative and ambitious individuals to join our team.In addition, we are seeking individuals with great attention to details – please mention “beauty is in the details” in your cover letter. You write tight code that is well commented and love planning out the code architecture before you even start coding.ResponsibilitiesDevelop iOS/Android game apps using C++ and related game engines.Collaborate with the design team to create and produce new games.Gets things done on time.Requirements2+ years of experience developing with C++.Write clean, robust and well-documented code.Exceptional attention to detail is a must; in your application/cover letter please mention the phrase “beauty is in the details.”PlusesBachelors or higher degree in Engineering.Experience with Cocos2D-x is a major plus.Job Type: Full-timeExperience:C++: 2 years (Preferred)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insurancePaid time offRelocation Assistance Provided:YesThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedAggressive -- competitive and growth-orientedTeam-oriented -- cooperative and collaborativeOutcome-oriented -- results-focused with strong performance culture"
"QA Automation Engineer IV","CDK Global","San Jose, CA 95134","Power the PossibilitiesThe CDK Global technology team is looking for collaborative innovators who are passionate about making their mark on emerging enterprise software products. We’re building and developing cloud technology for the automotive retail industry that will change the landscape for automotive dealers, original equipment manufacturers (OEMs) and the customers they serve.Be Part of Something BiggerEach year, more than three percent of the U.S. gross domestic product (GDP) is attributed to the auto industry, which flows through our customer, the auto dealer. It’s time you joined an evolving marketplace where research and development investment is measured in the tens of billions. It’s time you were a part of something bigger.We’re expanding our workforce – engineers, architects, developers and more – onboarding early adopters who can optimize, pivot and keep pace with ever-evolving development roadmaps and applications.Join Our TeamGrowth potential, flexibility and material impact on the success and quality of a next-gen, enterprise software product make CDK an excellent choice for those who thrive in challenging, fast-paced engineering environments.The possibilities for impact are endless. We have exceptional opportunities to evolve our industry by driving change through new technology.If you’re ready for high-impact, you’re ready for CDK.CDK Global’s Flex engineering team is looking for talented engineers with a passion for their craft to join our growing team. This is a unique role which will have a material impact on the success and quality of a new software product with enormous growth potential. Flex is highly visible within the organization and provides excellent growth and development opportunities. If you like fast-paced environments, engineering challenges, participating in key engineering decisions, and want to leave your personal mark on a software product, the Flex team is right for you.The Flex engineering team works on innovative new software that is used by car dealers to manage their operations, take care of their customers, and interact with the manufacturers. We are building our new software on the foundation of our rich automotive industry knowledge, experience, and current market presence. If you recently ordered a Ferrari, or a Ford, you likely have used at least one of our products! As a QA Automation Engineer you will help to create the next generation of enterprise class software solutions at CDK! If you have worked on bringing a large software product to market, or have a desire to gain this experience, this role might be perfect for you.Responsibilities:Partner with engineering teams to review requirements for each sprint, implement automation testsDevise a comprehensive end-end test strategy for product and ensure its execution across multiple teamsMonitor tests and report/resolve failuresInvolve in automation cycles and maintain automation test suitesProvide feedback on tools and techniques to improve qualityProvide quality reports to management with recommendations for improvement Required Skills:Experience in QA methodologies, SDLC, Agile, various test strategies4+ years of End-to-End Automated testing experience with a variety of tools and frameworks (BDD/Cucumber/TDD preferred)5+ years engineering experience with various programming languages (JavaScript/React/Node and Java preferred). Proficiency in Python scripting.Experience with source control (Git, GitHub Flow, Gitlab, SVN, Perforce)Bachelor's degree or equivalent in IT, computer science or related field is preferred, with a minimum of 2 years of related work experience in one of these fields (work experience may be used to in place of degree)An ongoing thirst for new knowledge and ideas, and a passion for software engineering as a QA Automation EngineerExperience working with distributed teamsCreative problem-solving, proficient debugging and profilingExperience with test-management and bug reporting tools (JIRA/Zephyr)Excellent written and verbal communication skillsCDK Global knows you have passions outside of work. You have family, friends, sporting events, and lots of things going on. That’s why we offer a comprehensive benefits package to not only take care of you but your family as well. All of our benefits are effective the first day of employment including 401K matching, paid time off to re-energize, donate your time to volunteer in your community, and tuition reimbursement to name a few.At CDK, we pride ourselves on having a diverse workforce. We value and celebrate the uniqueness of individuals and the different perspectives they provide. We offer equal opportunity employment regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, or protected veteran status."
"Web Application Developer","SalesPad, LLC","Grand Rapids, MI 49546","SalesPad is seeking a Senior Web Application Developer who will be developing for and providing architectural guidance on our rapidly expanding SAAS solution. We are looking for a highly driven individual that can work independently as well as within a team. Working within our established framework is critical, but we also value innovative thinkers that can help us continue to lead our industry.Technologies that we use include:JS/HTML/CCSTypescriptAngularJSReactOAuthIdeal candidates should have 5 or more years of professional development experience. We are looking for critical team members that want to be a part of a rapidly growing business and are willing to do whatever it takes to succeed. We value loyal, self-motivated, persistent, willing, positive, and engaged problem solvers!With more than 110 employees, SalesPad is one of West Michigan’s largest, fastest-growing software companies. We’re seeking the self-motivated, the hard-working, the problem solvers, and the dedicated to join our team of experts. We're focused on helping businesses grow, expand, or reshape how they do things by approaching each and every problem with energy, creativity, and confidence. Ingenuity, adaptation, and evolution are at the core for us at SalesPad.Our Grand Rapids-based headquarters is focused on helping change the way organizations do business through our software products, customizations, expertise, and support. Our enterprise software solutions work with leading business applications, Intuit QuickBooks, Intacct and Microsoft Dynamics GP, and integrate with a wide range of apps and platforms. SalesPad has been in the business of helping manufacturing and distribution companies increase productivity and efficiency since 2003. We got our start when a small business owner tasked a software developer with transforming a pile of clipboards and legal pads into a streamlined, efficient inventory management system. We have been sharing ideas and innovating ever since.At SalesPad, we're always looking for talented individuals to join our team of professionals. We believe our success is built on the abilities of our employees, and we strive to create a challenging and rewarding environment where all individuals are respected and encouraged to grow. Reach out to us today!Job Type: Full-timeExperience:relevant: 5 years (Required)Location:Grand Rapids, MI 49546 (Required)"
"Application Developer","Brookshire Brothers Grocery","Lufkin, TX","SUMMARY Conducts the analysis, design and programming of complex retail oriented information systems. Develops systems solutions to business problems by researching and analyzing user and business needs as directed. Alert departmental management to situations that may influence IT by proactive involvement in business issues. Ensure trouble-free performance by testing to ensure that a system and its programs will produce the expected results. Prevents work disruptions by analyzing complex programs in order to correct programming errors. Enhances value to the company by remaining technically competent on the operating systems, programming languages and computer hardware used in the environment. Be available to assist in IT emergencies.REQUIREMENTS: Must have 2+ years of relevant experience in appropriate programming experience. Experience with Microsoft SQL and Microsoft Visual Studio. Must have the ability to focus on details resulting in quality work requiring minimal management review. Must be able to perform multiple tasks. Must be able to use all Microsoft Office products at an intermediate level. Must be able to work with confidential documents and keep their confidentiality..Job Type: Full-timeExperience:Microsoft SQL: 2 years (Required)Programming: 2 years (Required)Microsoft Visual Studio: 2 years (Required)Education:High school or equivalent (Required)Location:Lufkin, TX (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planVisa Sponsorship Potentially Available:No: Not providing sponsorship for this jobSchedule::Monday to Friday"
"Senior Mobile Engineer - iOS (19-173)","Spok","Eden Prairie, MN","Go behind the scenes in Spok's Eden Prairie, MN office by watching this video: Transforming an Industry. You'll learn about the solutions Spok develops, and why collaborating to build them means so much to our employees. You'll also get a feel for our company culture of collaboration, and the underlying beliefs, values, and people that make Spok a great place to work.Summary:The Senior Software Engineer (SSE) is a member of a highly-motivated team. This role will develop, enhance, and sustain innovative solutions to improve the customer experience. The SSE will implement complex software in accordance with project requirements, UX design, and industry best practices. The SSE will also review designs and participate in meaningful collaboration sessions on how to solve customer problems and participate in determining scope for new projects. The SSE will own and components of the architecture and direct the work of other team members.Essential Duties and Responsibilities include the following. Other duties may be assigned.Work with Scrum team to develop Spok’s new native software that will be a key component of our product offering.Provide technical guidance in software design and development activities. May oversee development team and coordinate strategies amongst teams to ensure technologies are interconnected and product lines are working smoothly.Code, test, debug, document and maintain software applications using established coding standards and methodologies.Participate in Scrum activities, perform code reviews, contribute to a high performing, growing team.Own component(s) of the architecture and direct the work of other team members.Ensure new software meets quality standards through writing unit and automated tests.Troubleshoot, debug, resolve product issues as they arise.Assist in designing interfaces to improve the user experience.Support the application lifecycle (concept, design, test, release and support). Follow established development, documentation, testing and deployment processes.Gather requirements and suggest solutions; serve as an integrator between business needs and technology solutions.Collaborate with product development team to plan new features.Participate in planning and scoping meetings for future projects.Work cross functionally to resolve complex customer problems.Responsible for managing and maintaining project and work backlog; able to re-prioritize tasks as the business deems appropriate.Stay current with new technology trends.Train, coach and mentor other engineers.Qualifications:To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Education and/or Experience:Bachelor's degree from four-year college or university and 4 years’ experience or Master’s Degree in Computer Science and 2 year’ experience; or comparable experience and/or training; or equivalent combination of education and experience. BS in Computer Science preferred.Required Skills and Qualifications:Strong technical skills in Swift, Java, AppiumStrong Experience developing and testing native iOS appsDesired Qualifications:Experience with GITExperience with AWSExperience testing middleware applicationsDemonstrated ability to coordinate cross-functional work toward task completionExcellent communication skills, both verbal and writtenExperience working in an Agile development teamExperience working in a Healthcare/clinical environmentAbility to identify, own, and solve problems independently or as part of a team"
"QA Engineer-SaaS",,,"About UsActive 911 (A911) is a leading innovator in creating technologies to help first responders save lives by getting to emergencies faster. Using a SaaS-based rapidly iterating subscription service, A911 provides location and incident details related from Computer Aided Dispatch Systems (CADS), to assist fire, rescue, police, and other first-responder/medical professionals to get to the scene of emergencies faster and with more accurate information on the scope of the incident. Active 911 was created by a firefighter with a vision to actively alert responding emergency personnel. Today, Active911 serves over 12,000 agencies with over 400,000 individual users.About the PositionActive911 is looking for a talented QA Engineer, with Engineer in Test experience, to help shape the future of Active911. The successful applicant will be building and modifying QA processes and procedures, developing the framework for a successful QA experience in our Corvallis office. Active911 is expecting to grow over the next few years, and we are looking for someone to grow with us. Specifically, you will be expected to:Maintain ongoing constructive engagement with staff to provide working knowledge of QA functions and to identify opportunities for continuous improvement.Create and execute test plans focused on reducing the number of escaped defectsBuild and maintain automated regression testsStrategically improve testing processes across all applications and servicesInterpret business requirements and validate developers have met themEnsure Quality System training, documentation, and support for quality, internal audits, and management review meets regulatory and internal specificationsCreate/Maintain Testing Reports & QA process documentationMonitor industry trends and emergent technologiesTest apps across operating systems and devicesDocument, prioritize, and monitor issues clearly in JIRA – with examples, replication steps, and other information sufficient for an engineer to address – and track through issue lifecycleAdvocate for Active911 clients, ensuring they have a great experienceWork with development and account support teams in developing test workflow, including functional, integration, regression, UAT, and performance/stress testingOther duties as assigned.About YouCollege degree in Computer Science, Engineering, or comparable work experience4+ years of relevant experience in a full-time SaaS quality assurance testing role testing iOS apps, Android apps, and web applicationsExperience working with SaaS applicationsExperience working with Continuous Integration and Continuous Delivery for mobile appsAbility to solve problems, effectively communicate, and investigate, understand and document complex design and manufacturing process issuesStrong knowledge of release management and estimation techniquesProfound knowledge of testing techniques and product development lifecycleCertified Lead Auditor Training a plusStrong attention to detail and excellent organizational skills are required.10% travel may be requiredExemplify core valuesActive911 is an equal opportunity, at-will employer, which complies with the Americans with Disabilities Act.Next StepsSound interesting? Please submit your résumé and cover letter explaining how your background, education, and experience have made you a match for this position and our company. Applications without both will not be considered. After you submit your two documents, you will receive a confirmation e-mail with a link to a short test. Please complete the test to complete your application.Job Type: Full-timeSalary: $6,800.00 to $7,820.00 /monthExperience:Quality Assurance: 4 years (Preferred)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveThis Job Is:A job for which military experienced candidates are encouraged to applyA job for which all ages, including older job seekers, are encouraged to applyA job for which people with disabilities are encouraged to applySchedule::Monday to Friday"
