"Field1","Field2","Field3","Field4","Field6"
"Sr Project Manager (Mobile / UI Apps)","dōTERRA International","-","Description: Responsible for the planning, management and completion of Corporate Strategy projects in the design, website, mobile areas.ResponsibilitiesAlways have an eye into the future while working on the present.Demonstrate highly-advanced PM Soft Skills (ex: Foresight, organization, leadership, communication, pragmatism, empathy)Technical oversight of corporate strategy projectsContinually ensure clear and timely communication among all stakeholder and involved partiesCreate an environment of extreme transparency.Plan ahead.Proactively assess and mitigate project risksGather project requirements and definitions with various internal business units and external third party companiesWrite documentation including project objectives, implementation details, and process flow diagramsProactively manage and set deliverable timelines and ensure projects are delivered in a timely mannerPerform and coordinate software acceptance and regression testingCoordinate and manage release of softwareOther responsibilities as assignedRequired QualificationsAbsolute integrity8-12 years of experience in Project Management and online/app software creation experience2-4 years of experience in Business/Systems Analysis and app/agile deployment managementMust be business centric AND technically minded (In that order)Non-IT based Project management experience Important (e.g. International market openings, Events, new non-software product launches, construction projects, etc..)Unparalleled ability to apply project management tenets in ANY situation or type of project.Thorough understanding of the Software development life cycleStrong understanding of Agile, Enhanced Waterfall, SCALE, MSF and other methodologies – Ability to apply “the appropriate methodologies” to any given situation.Strong background in process improvement and process documentationStrong people skills (communication, negotiation, leadership)Strong analytical and organizational skillsExceptional communications skillsAbility to manage multiple complex projects and prioritize competing prioritiesAbility to be independent, lead a team and be part of a team without reservation to any of these differing capacities.Bachelor’s degreePreferred QualificationsMobile architecture understandingsMLM structure experiencePM Tool experience: Workfront/Jira/Version One experienceMBA, PMP, Agile Degree, or 8-10 years of experience preferredeCommerce, Mobile, InfoTrax, Distributor Tools experience helpfulJob Type: Full-timeExperience:relevant: 1 year (Preferred)Project Management: 1 year (Preferred)","- 30+ days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"SaaS Product Manager","Bravo Business Media","Plymouth Meeting, PA 19462","Bravo Business Media seeking a SaaS Product Manager who is a strategic thinker with the drive and attention to detail to make our vision a reality in a fast-paced, SaaS environment. Based on a thorough understanding of the market, you initiate, shape, and ship product ideas that achieve product-market fit and delight customers.As the SaaS Product Manager at Bravo Business Media, you will wear many hats, blending a skillset of business, technical, data analysis, marketing, and user experience savvy.Business: You immerse yourself into the business to understand the market, competitive landscape, and customer needs that drive product solutions and maximize business value.Technical: You understand our technical stack and act as the product owner in an Agile development environment.Data Analysis: You know how to obtain, analyze, and draw conclusions from quantitative and qualitative data.User Experience: You spend time in the market and with customers understanding their problems, gathering their insights on pre-released and released solutions, and championing their cause during the product development lifecycle.You can analyze and communicate technical and business issues, lead discussions, and influence decisions.You’re a keen problem solver and creative thinker who can conceptualize and articulate new product ideas to jumpstart the product design team.You’re an excellent spoken and written communicator, and can serve as an internal product evangelist, working with marketing, sales, and customer success to help them understand the product positioning, key benefits, and target customer.Responsibilities of the SaaS Product Manager will include:Manage product initiatives from initial idea to releaseParticipate in product positioning, packaging, and pricing through on-going market and competitive analysisMeet directly with customers and internal teams to gain insights which inform product strategy and developmentEngage in product road mapping (features, schedules, deliverables)Take loosely formed product ideas and determine their business cases, requirements, and scopeDefine and validate additional product iterationsCollaborate with UX designers, engineers, and developers to design, build, and release product features. Work with these teams to minimize technical, business, and usability riskCollaborate with marketing, sales, and customer success teams to foster understanding of product value and contribute to ongoing product improvements, new product introduction processes, and go-to-market strategyUnderstand complex tradeoffs involving features, technology, schedule, cost, pricing, packaging, and lifecycle managementCollect and analyze existing usage data, and business data to measure the results of product enhancementsLead status updates, project plan reviews, launch plan reviews, and project recap sessions with Bravo’s CEO, other executives, and internal stakeholdersWork with and impact all areas of the businessRequirements5+ years of Product Management experienceBachelor’s degree in business, computer science or a related field; advanced degree a plusExperience developing SaaS productsFamiliarity with home furnishings and/or improvement markets a plusSo here are just some additional semi-boring things we’ll bring to the table just for you!Cool work environment. Coworkers are genuinely fun to be around.Competitive salary.401(k) and benefits package.Medical / Dental Insurance.Life / Disability Insurance.Casual dress code.Coworkers who will laugh at your jokes. Even if they’re just being polite, sometimes.Job Type: Full-timeExperience:relevant: 3 years (Preferred)Product Management: 5 years (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offProfessional development assistanceTuition reimbursementVisa Sponsorship Potentially Available:No: Not providing sponsorship for this job","- 26 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Project Manager, IT","CBRE | FacilitySource","-","POSITION SUMMARY: FacilitySource is looking for a Project Manager with business analysis experience. We are looking for a technically competent well-rounded generalist with experience in fulfilling a variety of roles within an application development environment. The successful candidate will be flexible, innovative, creative, curious, analytical, and detail-oriented.DUTIES: Work with all involved stakeholders to launch new clientsManage standard, custom, and core-product application development effortsParticipate in meetings with clients and internal users; demonstrate our products, elicit requirements, and communicate information about our systems and processesCoordinate and participate in product testing with end-users to ensure project/sprint requirements have been met and are working properly prior to going liveProvide post-launch support to clients; answer any questions and assist in problem resolutionParticipate in meetings with clients and stakeholders to gather input on how applications are being used, challenges that are being faced, and opportunities that have been identifiedParticipate in, and contribute to, continuous improvement efforts to refine Project/Scrum workflows, processes and templatesWork with Training Department to ensure that project-related training and training materials are tailored to the end-userKNOWLEDGE, SKILLS AND ABILITIES REQUIRED: Experience managing and implementing projects/sprints using both Waterfall and Scrum methodologiesAbility to promote, follow and adhere to a project methodologyExcellent oral and written communication skills; able to communicate with people at all skill and knowledge levels; able to translate technical concepts into plain English.Strong customer focus and demonstrated ability to work with geographically dispersed teamsAbility to manage competing priorities in a dynamic and fast-growth environmentMust have strong computer skills and be proficient in the use of Microsoft Office applications including Project, PowerPoint, SharePoint, as well as other tools typically associated with project management and product developmentSpecial consideration for previous experience withFacility maintenance and vendor management systemsFinance and ERP systemsDatabase, business intelligence, and reporting systemsEDUCATION AND EXPERIENCE: Bachelor’s degree in Information Technology, Business, or related discipline, or equivalent combination of education and experience3 to 5 years project management experience1 to 3 years business or systems analysis experience, or experience providing end-user support for applications in a help-desk or customer-support environment1 to 3 years managing projects and work efforts with virtual teams in multiple time zonesExperience doing product development, application development, programming, or IT infrastructure a plusProfessional certification(s) preferred: PMP, PMI-ACP, CAPM, CSM, ITILPOSITION STATUS:  Full Time ExemptTRAVEL REQUIREMENTS: 10% to 20% typical; more frequently to start, then less frequently after first six months. This position supports a virtual team in multiple time zones.NON-COMPETE/NON-DISCLOSURE: YesJob Type: Full-timeExperience:project management: 3 years (Required)Education:Bachelor's (Preferred)License:Project Management Professional (PMP) (Preferred)","- 15 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Project Manager - IT Infrastructure","Apogee Telecom","-","We’re Apogee. Nice to meet you. At our core, we’re a student services organization that happens to focus on IT. We touch the lives of binge-watching, music-loving, game-playing, finals-taking, seminar-attending, class-selecting students by providing IT infrastructure that meets the needs of today’s technology-savvy generation.We are looking for an experienced Project Manager to manage organization of key client projects. As a project manager, your job will be to coordinate people and processes to ensure that our projects are delivered on time and produce the desired results. You will be the go-to person for everything involving a project’s organization and timeline.Here's the role:Developing project scopes and objectives, involving all relevant stakeholders including sales, engineering and other internal departments.Ensure resource availability and allocationDevelop a detailed project plan to track progressUse appropriate verification techniques to manage changes in project scope, schedule and costsMeasure project performance using appropriate systems, tools and techniquesReport and escalate to management as neededManage the relationship with the client and all stakeholdersPerform risk management to minimize project risksObtain permits and licenses from appropriate authoritiesEstablish and maintain relationships with third parties/vendorsCreate and maintain comprehensive project documentationRequirements:This role is based in Austin, TX, and we not offering relocation assistance.PMP CertificationTravel within the US will be required during peak season (Summer to early Fall), up to 50%.You’ll use your hands to type, use power tools. You’ll stand, walk, reach with arms and hands and due to the need to review client sites, may have to step over, climb or balance around obstacles, twist, stoop, kneel, crouch or crawl. Our equipment can be heavy, you’ll need to lift up to 25 lbs.You must have and maintain a valid driver’s license.You must also pass a criminal background check to work on any of our customer’s properties.You’ll love this job if this describes you:Air-traffic controller. You’re good at giving clear directions in-person, on the phone, and in an email. You’ll have several projects you’re managing, multiple resources you’re leading, and it’s your job to make sure everything gets done.Managing and working through systems. You have experience implementing processes and procedures through core work systemsSolid logical problem-solving skills. You’re honest and practical when it comes to solving problems. You’d rather give a correct answer that’s true, rather than try to make up an answer to please the client. That said, you work toward a goal, and you don’t want to disappoint.Clear Communication Skills. Your written and verbal communications are friendly, to the point, and professional. You have a natural, but realistic tone to your communication style, and you’re not afraid of tough conversations.Technical aptitude. Prior experience in our industry is highly preferred, however, if you have a strong IT/Operational background, and have worked in a technical environment, you should catch on pretty quickly to our business.EEO Statement:Apogee provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Apogee complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.","Apogee Telecom - 11 days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Product Manager - Remote","Star2Star Communications","-","Product Manager – RemoteStar2Star Communications offers the only global Full Spectrum Communications Solution. Our constellation framework offers cloud communications that include unparalleled value, reliability, quality, and scalability. They unify business communications including voice, video, fax, mobile, chat, and presence management and enhance communications with solutions such as Voice Optimized SD-WAN, SD-WAN, and LTE failover.Star2Star is looking for a talented, dynamic and knowledgeable product manager for our Unified Communications and Collaboration market offer. This role is remote and may be located in one of the following cities: Atlanta, Chicago, Charlotte, Washington, DC, or New York.Your Role:Deliver industry leading Unified Communication “UC” and Collaboration solutions built upon Star2Star’s business communications platform.Drive the roadmap, go-to-market, and its execution. Will work with internal and external stakeholders to deliver a world-class UC and Collaboration product to the market.Lead aspects of the product lifecycle: user/customer research, product requirements, development, QA, Alpha/Beta, and post-release. The ideal candidate will have a mix of product management and Agile/Scrum skills by owning the product development life cycle and go to market for their productAct as an evangelist for the product, both inside and outside of Star2Star, and be able to clearly articulate the benefits of the product as a leading UC and Collaboration solution.Act as the Agile Product Owner, create product requirements and prioritize features and deliverables.Conduct business-level verification and market testing of new featuresPassionate about products. Desire and drive to learn the product management and marketing practice and product development lifecycleStrong communication skills (engineering-level technical discussions, business-level discussions, sales training, customer and partner engagement)Be an expert with respect to the competition and UC and Collaboration best practicesWork with the multiple internal teams: UX Lead to develop the product design and user experience; the engineering team to guide product development; the marketing team on product launch and general content and positioning; and technical and sales guidance to sales teams.Your Background:BA/BS degree and a minimum of five years’ experience in product management and/or software development.Proven track record in managing and successfully executing critical mid/long term projects simultaneouslyStrong knowledge of UC and Collaboration Applications and APIs (UC Client, Contact Center, IM, Presence, etc.)Understanding of the UC and Collaboration market and ability to create business cases for attacking other segments/vendors in the market.Driven, with an entrepreneurial spirit and a sense of urgency. Must be resourceful, proactive and passionate.Some familiarity with SVPG, Lean, Pragmatic Marketing and/or other product management disciplines.Demonstrated success defining and launching excellent productsHighly organized and detail-orientedExcellent written and oral communication skills; ability to clearly articulate complex and abstract ideasTeam player that works well in collaborative and matrix organizationsFamiliarity with customer, partner and field sales business processesBe able to lead and drive a team of developers to realize your product visionExperience in Agile Product Owner roleMust be able to travel up to 20% of the timeWhat We Offer:Extensive Benefit Options (Health, Vision, Dental, Long & Short term Disability) effective after a short waiting periodFlexible PTO plan & Company HolidaysSubsidized on-site healthy food choicesCulture Perks: Multiple Special Interest Groups, Activities Team, New Mom & Quiet Rooms, and Team Building EventsEntrepreneurial work environment partnered with high growth career opportunitiesStar2Star Communications is an Equal Opportunity/ Affirmative Action employer. We provide equal employment opportunities to all qualified employees and applicants for employment without regard to race, religion, sex, age, marital status, national origin, sexual orientation, citizenship status, veteran status, disability or any other legally protected status. We prohibit discrimination in decisions concerning recruitment, hiring, compensation, benefits, training, termination, promotions, or any other condition of employment or career development.You must be authorized to work in the United States on a full-time basis for any employer. No agencies, Please.#INDHP","Star2Star Communications - 11 days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Project Manager Software Hadoop, Big Data, Networking or Cloud","WANdisco","-","We are looking for a Project Manager who will play a key role in the successful coordination, planning and execution of high profile and complex software releases and partners with stakeholders at all levels of the business to ensure engagement and alignment on project milestones and outcomes.Key Qualifications8+ years of related experienceExperience with software development methodologies including Agile and ScrumDomain experience working with Hadoop, Big Data, networking or cloud is preferred but not essentialStrong knowledge of Project Management tools, process and best practicesPMP and/or Agile certifications preferredExcellent verbal and written communication skillsDescriptionCollaborate with engineering managers, technical leads and product managers to drive planning and execution of complex software development projects from definition to successful delivery of releasesAssist with the development and implementation of a consistent approach to project management across the engineering functionBe the single point of contact for raising new requirements, change requests and priority changesEnsure new projects have adequate requirements, documentation, business cases, and time limitsMonitor progress against agreed datesAgree on delivery dates with engineering and stakeholders, following estimation, task definition and resource allocationManage dependencies across geographically distributed teams and across projects, and coordinate issue resolution across teamsEducationBachelor’s degree in Computer Science or a related technical disciplineLocationThe role is based in San Ramon, California","Glassdoor - 9 days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Data Product Manager","Azlo","Portland, OR 97214","About Azlo Azlo is a new fintech company that helps business owners, entrepreneurs, and freelancers pay, get paid, and manage their money. Backed by BBVA, we’re on a mission to transform small business banking.Azlo is looking for a Data Product Manager to add depth to our Data Team. This role requires a passion for data (informational and operational), platform infrastructure, simplifying operations, and technical depth. You will be a part of a cross-functional team that builds product, leads our analytics effort, and will be accountable for the execution of the roadmap. You will also serve as a bridge between the various stakeholders. Because of the technical nature of many of our financial integrations, experience in retail banking or payments is highly preferred.What You’ll Do: Lead a cross-functional Agile Scrum team of Data Analysts, Data Scientists, Data Engineers, Machine Learning Engineers, and others in the development and support of new product initiatives spanning many internal teams.Manage our informational data effort, including analytics to understand and help the other product teams access the data necessary to make data-driven product decisions.Gather and generate requirements for product evolution based on market analysis and end-user (or internal team) interactions.Be an operational technical lead in communicating project readiness. Identify, prioritize and manage key challenges and risks of a given product.Establish the Data Product Roadmap with cross-functional teams and internal and external stakeholders.Communicate technical components of the data process to non-technical stakeholders and external audiencesWhat You'll Bring: 5+ years of data product management experience and a passion for using data to maximize impact to customers across multiple products, or platforms.Understanding of Data Science / Machine Learning methodologies and steps involved in building successful data projects.Understanding of various statistical techniques and recommendation engines is a plusPrior experience in data warehouse modeling and ETL/data pipeline development.Prior experience with analytics tools, such as Amplitude or Google Analytics.Project experience managing cross-functional, technical teams.Highly analytical, using data to make decisions and comfortable gathering it yourselfResults-oriented. You can cut to the core of a problem, identify what needs to be done and work with the teams to get products launched.Ability to query large datasets and distill your findings into easy-to-understand analysesAbility to clearly and effectively communicate and maintain relationships with a diverse group of internal and external stakeholders and partners.Innovative mindset - Problem-solving proclivity.Strength in both written and verbal communications within all levels of an organization.An entrepreneurial attitude and the ability to work in a fast-paced, flexible environment on multiple concurrent projects where team members are based in multiple locations.Competitive knowledge of the financial technology landscape.What We Bring: High impact role in an early-stage fintech company.A killer team with decades of experience in finance, tech, and startups.A mission to empower business owners, and a mandate to do away with the old models of banking.Backing from a leading global bank with resources to support our growth.Additional Details: Position can be based in Portland, Oregon or San Francisco, California.Occasional travel may be needed.Job Type: Full-timeExperience:Product Management: 5 years (Required)Location:Portland, OR 97214 (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveProfessional development assistance","- 17 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Project Engineer / Project Manager","Marine Technical Services, Inc","San Pedro, CA","Project Engineer/Project Manager (Marine Technical Services, Inc.)- Excellent Communication Skills (both verbal and written)- 4 Year Bachelor's Degree- Experience with Planning and Scheduling Software and ExcelTechnical Skills Required:MechanicalElectricalWelding ProcessesJob Type: Full-TimeJob Type: Full-timeExperience:relevant: 1 year (Preferred)Benefits:Health insuranceDental insuranceVision insurancePaid time off","- 24 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Consulting Manager","Databound Healthcare Solutions","Ithaca, NY","Do you love creating effective solutions that help people, saving them thousands of hours of work? Databound Healthcare Solutions helps hospital administrators save time and money with innovative solutions so that they can spend more time improving their patients’ experience. The solutions that we provide to our clients have a tremendous impact on their businesses and the lives of their employees. We are looking for someone who honors and understands the weight of that responsibility.We are focused on excellence, growing, having fun, and thriving in our roles. We are seeking an energetic,self-motivated consultant who wants to encourage, help, and support their clients. In this role you will have consulting projects you need to deliver as well as provide leadership over the team and projects. The right candidate will have basic programming skills, attention to detail, strong organization, and ability to think through problems logically. You like to interact with people and lead towards productive solutions. You will have a history of coordinating and delivering world-class support and/or consulting projects. If you are inquisitive, a constant learner, have confidence with low ego, a problem seer and a problem solver, and love to help build a team, this may be the next role that propels your career to new heights!Essential Job Functions: EMUE ConsultantTranslate client business requirements into process workflowsEvaluate client automation needs and design scripts that will automate tasks using our EMUE automation toolAuthor effective, even elegant, script code with robust error handling for clientsSupport code after deliveryPerform script reviews for other consultants’ consulting engagementsClient Success LeadershipOversees the successful execution of the client success program, that engagements are occurring according to appropriate lifecycle plans, and that satisfaction, renewal and revenue targets are being met.Coordinates successful delivery of client technical services (consulting, training, and support) through effective client engagement, removing barriers for team members, and guidance as neededEnsures client engagements are scoped to the requirements, that work is performed as clients expect, and successfully delivered on time and within the clients’ budgets.Oversees monthly billing and approves all client service invoices.Onboarding of new consultants and facilitating career development opportunities for the teamEMUE TrainingServe as a backup to our primary trainer by delivering training engagements if scheduling conflicts arise.Help develop training content as neededEMUE SupportProvide auxiliary technical product support services when neededRespond to phone calls and emails in a timely and courteous mannerBe able to accurately diagnose and correct problems over the phone and email.Deliver outstanding customer service that is recognized and appreciated by our clientsOther Functions:Maintain positive client relationshipsSupport and mentor new employeesOther duties as requestedMinimum Job Qualifications:Bachelor’s Degree in Computer Science, Mathematics, Engineering, or similar.Required Skills:Previous scripting experience and ability to become a proficient EMUE scriptwriter/implementer within 2-3 monthsSolid understanding of core programming conceptsAble to program SQL and configure SQL databasesUnderstanding of HTMLProficient in MS Office and particularly ExcelAble to clearly communicate technical concepts to users with a wide range of technical abilities both face-to-face and remotelyAble to multi-task and handle context switching while keeping projects on trackExpects to keep abreast of new techniques in development and consultingGreat communication, organizational and time management abilitiesCritical thinking and decision makingTravel: Infrequent. Occasional onsite visits to our customers is possible.Preferred Qualifications:Three plus years of consulting in an equivalent technical leadership role where you were personally responsible for client resultsThree plus years of technical support representative experienceStrong programming experience in HTML, XML, SSRS, C# and/or other programming languagesKnowledge of Jira, Confluence, and .NET a plusCertifications relevant to software development and/or customer serviceThree plus years in a technical role supporting clients on a SaaS architecture a plusBreakdown of Duties:EMUE Consulting – 60%Client Success Leadership – 25%EMUE Training – 5%Customer Support – 10%We offer an energetic and flexible work environment with competitive pay and great benefits. If our mission and core values appeal to you,and you are a well-organized, self-motivated individual and you are available within the next 30 days, please apply.Job Type: Full-timeExperience:relevant: 3 years (Preferred)Education:Bachelor's (Preferred)Additional Compensation:CommissionBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible schedule","- 29 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Integration Project Manager with Biztalk","SILVERLINK TECHNOLOGIES LLC","New York, NY","Job Summary1. Overall 15+ years of experience, primarily in handling Integration work2 Should be conducting stakeholder management – bringing the all the necessary stakeholders align to the necessary architecture and guidance3. Current/past experience in Integrations technologies - Biztalk and Azure preferred4 Managing Interdependencies across ConEd, EAIS projects and collaborates extensively with the IT departments and governance structure and Infosys teams5. Experience in managing Integration teams and working in global delivery models and supporting teams in India and offshore PM6. Experience implementing large integration transformation programs7. Participate in strategy discussions to provide views on integration specific areasGood to Have1. Knowledge on Azure - APIM and AIS2. Past experience in BizTalkThanks and Regards,**Rashmi ChandakSILVERLINK TECHNOLOGIES LLCJob Type: ContractExperience:Integration: 10 years (Preferred)Biztalk: 10 years (Preferred)Azure: 5 years (Preferred)Project Management: 10 years (Preferred)Contract Renewal:LikelyFull Time Opportunity:No","- 3 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Engineering Manager","Yargus Manufacturing","Marshall, IL 62441","FUNCTIONAL JOB DESCRIPTIONJOB TITLE: Engineer ManagerDEPARTMENT:  EngineeringREPORTS TO: Operations ManagerSTATUS: ExemptSUMMARY: Work closely with management, production, project management and the sales staff to discuss project specifications and procedures.ESSENTIAL DUTIES AND RESPONSIBILITIES: Coordinate and direct projects, making detailed plans to accomplish goals and directing the integration of technical activities.Direct, review, and approve product design and changes.Manage a process of continuous improvement/lean initiatives to reduce cost, quality and delivery in manufacturing, thereby improving customer satisfaction while reducing the total cost and investment of operations.Direct and support the engineering team in the development and/or improvement of product quality and reduction manufacturing cost.Maintain, develop, and interface with customers relative to engineering needs.Recruit employees; assign, direct, and evaluate their work; and oversee the development and maintenance of staff competence.Develop and maintain necessary reports, records and files.Required to work in a team atmosphere.Evening and weekend hours may be required.Regular attendance is required.All other duties as assigned.EDUCATION (OR EQUIVALENT EXPERIENCE): BS in an engineering discipline, or relevant experienceMinimum 8 years of engineering experience in a sheet metal/structural steel fabrication environmentMinimum 5 years in leading, managing and developing engineers or supervisorsSKILLS/KNOWLEDGE/ABILITIES REQUIRED: Ability to use Inventor as well as AutoCADPast success building and leading high-performance teamsExperience working with cross functional teamsAbility to work in a fast-paced, dynamic environmentJob Type: Full-timeExperience:relevant: 1 year (Preferred)Engineering Management: 1 year (Preferred)","- 26 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Manager, Technical Services","OUC - The Reliable One","Orlando, FL 32802","Manage and support the UNIX Administration, Storage Area Network Data StorageSystems, and Database Administration for all Oracle and SQL Server database systems.Responsible for the backup and recovery technology used across the Commission for file shares, applications, and general data storage systems. Work internally with otherProduction and Technology departments and across boundaries with the other IT departments to design and implement successful technology strategies that will improve reliability of the IT infrastructure and reduces cost while improving efficiencies and managing multiple complex environments.Primary Functions: OPERATIONAL SUPPORT OVERSIGHT: Capacity Management – Ensure technology resources are correctly sized to meet current and future business demands, cost effectively Identify new technologies and maintenance/upgrade of existing technology, and patching; Identify problems and determine root cause analysis and resolution; Perform database migrations and upgrades; hardware maintenance and upgrades; performance and tuning; Responsible for daily backup/recovery execution, testing, and upgrades; creation of operational metrics and action plans based on metric thresholds;SUPPORT OF BUSINESS PROJECTS: Provide technical guidance to application teams and projects relative operational infrastructure; Review vendor specifications and adapt to our infrastructure standards, acquisition and implementation of need infrastructure components; Provide oversight of technology personnel supporting the project teams;MANAGEMENT OVERSIGHT: Establish technology direction, manage project plans and schedules, assign resources(internal/external), coordinate interdepartmental work activities; Provide project and technology communication across the enterprise, disaster recovery planning and testing;ADMINISTRATION: Responsible for time sheet approval, employee appraisals, expense reimbursement, and invoice approval; Prepare Commission Agenda Item documentation; purchase order generation, budget preparation and monitoring, and project documentation; Perform other duties as assigned.Requirements:  Bachelor’s Degree in Computer Science, Information Technology, BusinessAdministration or related field from an accredited college or university Minimum of 5 years of experience operating and managing complex IT infrastructure technology domains with servers, networks, storage systems, disaster recovery and business continuity planning Working knowledge of all, but not limited to the following: o Practices, principals, and theories;o Technology Performance Metrics, Trend Analysis and Key Performance Indicators(KPI); o Budget Preparation, Monitoring and Management; Familiarity with all, but not limited to the following: o Software Applications (i.e. PSERM, CC&B, AutoCAD); o Time Sheets and Power Point Presentations; o Related industry, organizational and departmental policies, practices, and procedures; legal guidelines, ordinances, and laws; Strong communication skills, both verbal and written; Effective communication across departments and to executive management is a key attribute required for this position; Work effectively and efficiently toward goals in a complex, diverse environment with multiple and changing demands; Known for effective leadership of IT staff, excellent communicator and have a passion for client satisfaction; Understand and apply governmental accounting practices in maintenance of financial records; Ability to make arithmetic computations using whole numbers, fractions and decimals, and compute rates, ratios, and percentages; Ability to use Microsoft Office Suite (Outlook, Excel, Word, etc.) and standard office equipment (computer, telephone, fax, copier, etc.).Job Type: Full-timeSalary: $105,000.00 to $138,500.00 /yearExperience:operating and managing complex IT infrastructure technology: 5 years (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planRelocation assistanceTuition reimbursementThis Job Is:A job for which military experienced candidates are encouraged to apply","- 24 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Engineering Project Coordinator","Integrated Technical Solutions","Auburn, IN","Manage a Team of Project Managers, Project Engineers, Detailers, and Staff Support Personnel for a variety of engineering and construction projects including:Liaison between Sales organization and Project team.Facilitate kick off meetings between Sales organization and Project teams after order is received.Determine and assign project teams to projects as need to complete the contracted work with regards to the following:§ System Design§ Schedule§ Budget§ Qualityo Understand and quantify each project for the scope of work including:§ Safety§ Customer Interface§ Engineering§ Equipment Specification and Procurement§ Construction§ Startup / Commissioningo Work with the engineering personnel to develop and follow up on Client standards for the implementation of the assigned engineering projects.o Conduct project reviews for all active projects consisting of the following:§ Percent complete for the project both financially and overall statuso Follow up on the scheduling, safety, quality, budgets, invoicing, and cash flow for each project.o Provide clear & concise direction to project teams when given the opportunity to coach others.o Participate in and promote training among the various engineering disciplines to improve individual and company performance.Staff Support for Sales Team:o Support the sales personnel for engineering, fabrication, and construction estimating as needed.General Requirements:o Good Communication skills, both written and oral.o A positive attitude.o A bachelor’s degree in engineering is required.o 5 – 10 years’ experience in the design engineering and construction disciplines is required.o Proficiency in all MS Office Suite products along with some experience in AutoCAD is required.o Travel will be required to customer sites and client construction job sites. This travel is domestic and is expected to be as much as 15%.Job Type: Full-timeExperience:relevant: 5 years (Preferred)Education:Bachelor's (Preferred)Work authorization:United States (Required)Work Location:One locationThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousPeople-oriented -- enjoys interacting with people and working on group projectsAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance -- thrives in a high-pressure environment","- 30 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
